date,scheme_code,scheme_name,nav
2026-07-15,100312,LIC MF Flexi Cap Fund-Regular Plan-IDCW,33.0242
2026-07-15,100313,LIC MF Flexi Cap Fund-Regular Plan-Growth,104.6522
2026-07-15,100314,LIC MF Medium to Long Duration Fund-Regular Plan-IDCW,16.5671
2026-07-15,100315,LIC MF Medium to Long Duration Fund-Regular Plan-Growth,75.5813
2026-07-15,100316,LIC MF Gilt Fund-Regular Plan-IDCW,17.4297
2026-07-15,100317,LIC MF Gilt Fund-Regular Plan-Growth,60.4673
2026-07-15,100318,LIC MF Gilt Fund-PF Plan-IDCW,22.5992
2026-07-15,100319,LIC MF Gilt Fund-PF Plan-Growth,34.9238
2026-07-15,100321,LIC MF Aggressive Hybrid Fund-Regular Plan-IDCW,15.0006
2026-07-15,100323,LIC MF Aggressive Hybrid Fund-Regular Plan-Growth,198.2105
2026-07-15,100325,LIC MF ULIS (5 Yrs. Single Premium)-Regular Plan-IDCW Reinvestment,36.2572
2026-07-15,100332,LIC MF Large Cap Fund-Regular Plan-IDCW,32.1241
2026-07-15,100476,Taurus Flexi Cap Fund - Regular Plan - Growth,228.80
2026-07-15,100477,Taurus Mid Cap Fund - Regular Plan - Growth,120.90
2026-07-15,100480,Taurus ELSS Tax Saver Fund - Regular Plan - Growth,177.74
2026-07-15,100593,CANARA ROBECO ELSS TAX SAVER - REGULAR PLAN -IDCW (Payout),47.7200
2026-07-15,100596,CANARA ROBECO GILT FUND - REGULAR PLAN - IDCW (Payout/Reinvestment),14.7487
2026-07-15,100597,CANARA ROBECO GILT FUND - REGULAR PLAN - GROWTH OPTION,76.7904
2026-07-15,100600,CANARA ROBECO CONSERVATIVE HYBRID FUND - REGULAR PLAN - MONTHLY IDCW (Payout/Reinvestment),12.3745
2026-07-15,100601,CANARA ROBECO CONSERVATIVE HYBRID FUND - REGULAR PLAN - GROWTH OPTION,99.2234
2026-07-15,100864,LIC MF ELSS Tax Saver-Regular Plan-IDCW,30.9605
2026-07-15,100865,LIC MF ELSS Tax Saver-Regular Plan-Growth,147.8938
2026-07-15,101184,LIC MF Liquid Fund-Regular Plan-Daily IDCW,1000.1751
2026-07-15,101185,LIC MF Liquid Fund-Regular Plan-Growth,5027.7163
2026-07-15,101198,LIC MF BSE Sensex Index Fund-Regular Plan-IDCW,49.5091
2026-07-15,101199,LIC MF BSE Sensex Index Fund-Regular Plan-Growth,144.4438
2026-07-15,101200,LIC MF Nifty 50 Index Fund-Regular Plan-IDCW,49.0839
2026-07-15,101201,LIC MF Nifty 50 Index Fund-Regular Plan-Growth,133.0557
2026-07-15,101209,Taurus Large Cap Fund - Regular Plan - Growth,160.28
2026-07-15,101271,LIC MF Children's Fund-Regular Plan-Growth,33.368
2026-07-15,101587,CANARA ROBECO INCOME FUND - REGULAR PLAN - QUARTERLY IDCW (Payout/Reinvestment),14.6529
2026-07-15,101588,CANARA ROBECO INCOME FUND - REGULAR PLAN - GROWTH OPTION,56.9648
2026-07-15,101593,HSBC Large Cap Fund - Regular IDCW,41.9292
2026-07-15,101594,HSBC Large Cap Fund - Regular Growth,473.3261
2026-07-15,101685,HSBC Medium to Long Duration Fund - Regular Growth,43.724
2026-07-15,101686,HSBC Medium to Long Duration Fund - Regular Quarterly IDCW,10.657
2026-07-15,101829,LIC MF Low Duration Fund-Regular Plan-Monthly IDCW,14.4079
2026-07-15,101830,LIC MF Low Duration Fund-Regular Plan-Growth,41.9574
2026-07-15,101866,LIC MF Conservative Hybrid Fund-Regular Plan-Monthly IDCW,12.8027
2026-07-15,101867,LIC MF Conservative Hybrid Fund-Regular Plan-Quarterly IDCW,14.6353
2026-07-15,101868,LIC MF Conservative Hybrid Fund-Regular Plan-Yearly IDCW,11.9226
2026-07-15,101869,LIC MF Conservative Hybrid Fund-Regular Plan-Growth,84.3471
2026-07-15,101922,CANARA ROBECO FLEXICAP FUND - REGULAR PLAN - GROWTH OPTION,341.3200
2026-07-15,101923,CANARA ROBECO FLEXICAP FUND - REGULAR PLAN - IDCW (Payout/Reinvestment),59.4400
2026-07-15,102251,HSBC Flexi Cap Fund - Regular IDCW,42.3964
2026-07-15,102252,HSBC Flexi Cap Fund - Regular Growth,226.8577
2026-07-15,102260,HSBC Conservative Hybrid Fund - Regular Monthly IDCW,12.9559
2026-07-15,102261,HSBC Conservative Hybrid Fund - Regular Quarterly IDCW,16.9719
2026-07-15,102262,HSBC Conservative Hybrid Fund - Regular Growth,63.7586
2026-07-15,102913,CANARA ROBECO SAVINGS FUND - REGULAR PLAN - GROWTH OPTION,44.8195
2026-07-15,102914,CANARA ROBECO SAVINGS FUND - REGULAR PLAN - IDCW (Payout/Reinvestment),40.1489
2026-07-15,102915,CANARA ROBECO SAVINGS FUND - REGULAR PLAN - WEEKLY IDCW (Payout/Reinvestment),10.2600
2026-07-15,102920,CANARA ROBECO LARGE AND MID CAP FUND - REGULAR PLAN - GROWTH OPTION,254.6700
2026-07-15,102921,CANARA ROBECO LARGE AND MID CAP FUND - REGULAR PLAN - IDCW (Payout/Reinvestment),82.7200
2026-07-15,103389,CANARA ROBECO INFRASTRUCTURE FUND - REGULAR PLAN - IDCW (Payout/Reinvestment),64.6200
2026-07-15,103390,CANARA ROBECO INFRASTRUCTURE FUND - REGULAR PLAN - GROWTH OPTION,168.3400
2026-07-15,103490,Quantum Value Fund - Direct Plan Growth Option,126.77
2026-07-15,103491,Quantum Value Fund - Direct Plan IDCW,127.03
2026-07-15,103734,Quantum Liquid Fund - Direct Plan Growth Option,37.3728
2026-07-15,103735,Quantum Liquid Fund - Direct Plan Monthly IDCW,10.0436
2026-07-15,103736,Quantum Liquid Fund - Direct Plan Daily IDCW,10.0123
2026-07-15,104559,CANARA ROBECO SAVINGS FUND - REGULAR PLAN - DAILY IDCW (Reinvestment),10.2540
2026-07-15,105417,Taurus Infrastructure Fund - Regular Plan - Growth,64.38
2026-07-15,105418,Taurus Infrastructure Fund - Regular Plan - Payout of Income Distribution cum Capital Withdrawal option,60.47
2026-07-15,105822,LIC MF Banking & PSU Fund-Regular Plan-Daily IDCW,11.7779
2026-07-15,105823,LIC MF Banking & PSU Fund-Regular Plan-Growth,36.7098
2026-07-15,105856,LIC MF Banking & PSU Fund-Regular Plan-Monthly IDCW,13.7391
2026-07-15,105857,LIC MF Banking & PSU Fund-Regular Plan-Weekly IDCW,10.3738
2026-07-15,106166,CANARA ROBECO EQUITY HYBRID FUND - REGULAR PLAN - GROWTH OPTION,366.2500
2026-07-15,106167,CANARA ROBECO EQUITY HYBRID FUND - REGULAR PLAN - MONTHLY IDCW (Payout/Reinvestment),92.1000
2026-07-15,106871,LIC MF Large Cap Fund-Regular Plan-Growth,53.1911
2026-07-15,107693,Quantum Gold ETF,116.6952
2026-07-15,107763,LIC MF Infrastructure Fund-Regular Plan-Growth,54.4288
2026-07-15,107764,LIC MF Infrastructure Fund-Regular Plan-IDCW,54.4303
2026-07-15,108402,Taurus ELSS Tax Saver Fund - Regular Plan - Payout of Income Distribution cum Capital Withdrawal option,83.27
2026-07-15,108403,Taurus Large Cap Fund - Regular Plan - Payout of Income Distribution cum Capital Withdrawal option,70.21
2026-07-15,108479,Quantum Nifty 50 ETF,264.7464
2026-07-15,109349,CANARA ROBECO LIQUID FUND - REGULAR PLAN - DAILY IDCW (Reinvestment),1005.5000
2026-07-15,109350,CANARA ROBECO LIQUID FUND - REGULAR PLAN - WEEKLY IDCW (Payout/Reinvestment),1000.3733
2026-07-15,109351,CANARA ROBECO LIQUID FUND - REGULAR PLAN - MONTHLY IDCW (Payout/Reinvestment),1004.4475
2026-07-15,109353,CANARA ROBECO LIQUID FUND - REGULAR PLAN - GROWTH OPTION,3347.7428
2026-07-15,109366,CANARA ROBECO ULTRA SHORT TERM FUND - REGULAR PLAN - WEEKLY IDCW (Payout/Reinvestment),1240.7100
2026-07-15,109370,CANARA ROBECO ULTRA SHORT TERM FUND - REGULAR PLAN - MONTHLY IDCW (Payout/Reinvestment),1003.6268
2026-07-15,109371,CANARA ROBECO ULTRA SHORT TERM FUND - REGULAR PLAN - GROWTH OPTION,4027.7298
2026-07-15,109372,CANARA ROBECO ULTRA SHORT TERM FUND - REGULAR PLAN - DAILY IDCW (Reinvestment),1240.2468
2026-07-15,111549,Quantum ELSS Tax Saver Fund - Direct Plan Growth Option,126.65
2026-07-15,111550,Quantum ELSS Tax Saver Fund - Direct Plan IDCW,125.83
2026-07-15,111640,Taurus Flexi Cap Fund - Regular Plan - Payout of Income Distribution cum Capital Withdrawal option,111.03
2026-07-15,111642,Taurus Mid Cap Fund - Regular Plan - Payout of Income Distribution cum Capital Withdrawal option,107.77
2026-07-15,111675,LIC MF Low Duration Fund-Regular Plan-Weekly IDCW,14.3883
2026-07-15,111676,LIC MF Low Duration Fund-Regular Plan-Daily IDCW,11.0754
2026-07-15,111722,CANARA ROBECO ELSS TAX SAVER - REGULAR PLAN - GROWTH OPTION,178.4000
2026-07-15,111787,Taurus Ethical Fund - Regular Plan - Growth,125.93
2026-07-15,111788,Taurus Ethical Fund - Regular Plan - Payout of Income Distribution cum Capital Withdrawal option,85.13
2026-07-15,111903,Taurus Ethical Fund -  Regular Plan - Bonus Option,125.91
2026-07-15,111962,CANARA ROBECO DYNAMIC BOND FUND - REGULAR PLAN - GROWTH OPTION,29.7481
2026-07-15,111963,CANARA ROBECO DYNAMIC BOND FUND - REGULAR PLAN - IDCW (Payout/Reinvestment),13.2733
2026-07-15,112152,CANARA ROBECO CONSUMPTION FUND - REGULAR PLAN - GROWTH OPTION,106.4200
2026-07-15,112153,CANARA ROBECO CONSUMPTION FUND - REGULAR PLAN - IDCW (Payout/Reinvestment),45.7200
2026-07-15,112378,CANARA ROBECO CONSERVATIVE HYBRID FUND - REGULAR PLAN - QUARTERLY IDCW (Payout/Reinvestment),13.4359
2026-07-15,112948,Taurus Nifty 50 Index Fund - Regular Plan - Growth,45.7613
2026-07-15,112949,Taurus Nifty 50 Index Fund - Regular Plan - Payout of Income Distribution cum Capital Withdrawal option,29.1766
2026-07-15,113144,CANARA ROBECO SAVINGS FUND - REGULAR PLAN - MONTHLY IDCW (Payout/Reinvestment),10.2963
2026-07-15,113221,CANARA ROBECO LARGE CAP FUND - REGULAR PLAN - GROWTH OPTION,61.3900
2026-07-15,113222,CANARA ROBECO LARGE CAP FUND - REGULAR PLAN - IDCW (Payout/Reinvestment),28.3600
2026-07-15,115077,CANARA ROBECO SHORT DURATION FUND - REGULAR PLAN - GROWTH OPTION,26.7254
2026-07-15,115078,CANARA ROBECO SHORT DURATION FUND - REGULAR PLAN - MONTHLY IDCW (Payout/Reinvestment),15.7903
2026-07-15,115079,CANARA ROBECO SHORT DURATION FUND - REGULAR PLAN - QUARTERLY IDCW (Payout/Reinvestment),15.3985
2026-07-15,115132,Quantum Gold ETF FOF - Direct Plan Growth Option,53.9148
2026-07-15,117312,Taurus Banking & Financial Services Fund - Regular Plan - Growth,54.27
2026-07-15,117313,Taurus Banking & Financial Services Fund - Regular Plan - Payout of Income Distribution cum Capital Withdrawal option,48.58
2026-07-15,118267,CANARA ROBECO INFRASTRUCTURE FUND - DIRECT PLAN - GROWTH OPTION,191.6600
2026-07-15,118268,CANARA ROBECO INFRASTRUCTURE FUND - DIRECT PLAN - IDCW (Payout/Reinvestment),91.5100
2026-07-15,118269,CANARA ROBECO LARGE CAP FUND - DIRECT PLAN - GROWTH OPTION,71.7500
2026-07-15,118270,CANARA ROBECO LARGE CAP FUND - DIRECT PLAN - IDCW (Payout/Reinvestment),52.3000
2026-07-15,118271,CANARA ROBECO EQUITY HYBRID FUND - DIRECT PLAN - MONTHLY IDCW (Payout/Reinvestment),130.6800
2026-07-15,118272,CANARA ROBECO EQUITY HYBRID FUND - DIRECT PLAN - GROWTH OPTION,419.0100
2026-07-15,118273,CANARA ROBECO CONSUMPTION FUND - DIRECT PLAN - GROWTH OPTION,123.8800
2026-07-15,118274,CANARA ROBECO CONSUMPTION FUND - DIRECT PLAN - IDCW (Payout/Reinvestment),84.5300
2026-07-15,118275,CANARA ROBECO FLEXICAP FUND - DIRECT PLAN - GROWTH OPTION,387.1100
2026-07-15,118276,CANARA ROBECO FLEXICAP FUND - DIRECT PLAN - IDCW (Payout/Reinvestment),91.3800
2026-07-15,118277,CANARA ROBECO LARGE AND MID CAP FUND - DIRECT PLAN - IDCW (Payout/Reinvestment),127.1300
2026-07-15,118278,CANARA ROBECO LARGE AND MID CAP FUND - DIRECT PLAN - GROWTH OPTION,294.5900
2026-07-15,118281,CANARA ROBECO INCOME FUND - DIRECT PLAN - QUARTERLY IDCW (Payout/Reinvestment),16.8927
2026-07-15,118282,CANARA ROBECO INCOME FUND - DIRECT PLAN - GROWTH OPTION,64.6269
2026-07-15,118283,CANARA ROBECO DYNAMIC BOND FUND - DIRECT PLAN - IDCW (Payout/Reinvestment),14.9730
2026-07-15,118284,CANARA ROBECO DYNAMIC BOND FUND - DIRECT PLAN - GROWTH OPTION,33.1754
2026-07-15,118285,CANARA ROBECO ELSS TAX SAVER - DIRECT PLAN - GROWTH OPTION,201.6100
2026-07-15,118286,CANARA ROBECO ELSS TAX SAVER - DIRECT PLAN - IDCW (Payout),78.1700
2026-07-15,118291,CANARA ROBECO SAVINGS FUND - DIRECT PLAN - GROWTH OPTION,46.1875
2026-07-15,118292,CANARA ROBECO SAVINGS FUND - DIRECT PLAN - IDCW (Payout/Reinvestment),41.2625
2026-07-15,118293,CANARA ROBECO SAVINGS FUND - DIRECT PLAN - DAILY IDCW (Reinvestment),10.2545
2026-07-15,118294,CANARA ROBECO SAVINGS FUND - DIRECT PLAN - WEEKLY IDCW (Payout/Reinvestment),10.2600
2026-07-15,118295,CANARA ROBECO SAVINGS FUND - DIRECT PLAN - MONTHLY IDCW (Payout/Reinvestment),10.2977
2026-07-15,118298,CANARA ROBECO GILT FUND - DIRECT PLAN - IDCW (Payout/Reinvestment),16.2094
2026-07-15,118299,CANARA ROBECO GILT FUND - DIRECT PLAN - GROWTH OPTION,83.3357
2026-07-15,118304,CANARA ROBECO LIQUID FUND - DIRECT PLAN - IDCW (Payout/Reinvestment),2411.4507
2026-07-15,118305,CANARA ROBECO LIQUID FUND - DIRECT PLAN - GROWTH OPTION,3369.7013
2026-07-15,118306,CANARA ROBECO LIQUID FUND - DIRECT PLAN - MONTHLY IDCW (Payout/Reinvestment),1004.6314
2026-07-15,118307,CANARA ROBECO LIQUID FUND - DIRECT PLAN - DAILY IDCW (Reinvestment),1005.5000
2026-07-15,118308,CANARA ROBECO LIQUID FUND - DIRECT PLAN - WEEKLY IDCW (Payout/Reinvestment),1000.3733
2026-07-15,118309,CANARA ROBECO CONSERVATIVE HYBRID FUND - DIRECT PLAN - GROWTH OPTION,115.1633
2026-07-15,118310,CANARA ROBECO CONSERVATIVE HYBRID FUND - DIRECT PLAN - QUARTERLY IDCW (Payout/Reinvestment),16.1312
2026-07-15,118311,CANARA ROBECO CONSERVATIVE HYBRID FUND - DIRECT PLAN - MONTHLY IDCW (Payout/Reinvestment),16.0775
2026-07-15,118315,CANARA ROBECO ULTRA SHORT TERM FUND - DIRECT PLAN - DAILY IDCW (Reinvestment),1240.2853
