date,scheme_code,scheme_name,nav
2026-07-11,100046,Aditya Birla Sun Life Liquid Fund -Daily IDCW,100.2118
2026-07-11,100047,Aditya Birla Sun Life Liquid Fund - Growth,448.0967
2026-07-11,100051,Aditya Birla Sun Life Liquid Fund -weekly IDCW,100.2429
2026-07-11,100233,JM Liquid Fund (Regular) - Weekly IDCW,11.0119
2026-07-11,100234,JM Liquid Fund - Growth Option,75.7726
2026-07-11,100244,JM Liquid Fund (Regular) - Quarterly IDCW,42.888
2026-07-11,100247,JM Liquid Fund (Regular) - Super Institutional Plan - Growth Option,43.5673
2026-07-11,100538,Franklin India Liquid Fund - Regular Plan - Growth,6256.2553
2026-07-11,100546,Franklin India Liquid Fund - Super Institutional Plan - Growth,4188.0238
2026-07-11,100813,UTI Overnight Fund - Regular Plan - Periodic IDCW,1904.9312
2026-07-11,100814,UTI - Overnight  Fund - Regular Plan - Growth Option,3697.7094
2026-07-11,100833,Kotak Liquid Fund - Regular  - Daily Reinvestment of Income Distribution cum capital withdrawal option,1271.9586
2026-07-11,100835,Kotak Liquid Fund - Regular Plan - Growth,5617.9669
2026-07-11,100837,Nippon India Liquid Fund - Retail Option - Growth Plan,6011.7597
2026-07-11,100838,NIPPON INDIA LIQUID FUND - RETAIL Plan - WEEKLY IDCW OPTION,1034.8848
2026-07-11,100842,NIPPON INDIA LIQUID FUND - RETAIL Plan - DAILY IDCW OPTION,1524.5227
2026-07-11,100843,NIPPON INDIA LIQUID FUND - RETAIL plan - MONTHLY IDCW OPTION,1330.4634
2026-07-11,100844,NIPPON INDIA LIQUID FUND - RETAIL Plan - QUARTERLY IDCW OPTION,1217.9728
2026-07-11,100851,Nippon India Liquid Fund -Growth Plan,6784.8022
2026-07-11,100852,NIPPON INDIA LIQUID FUND - DAILY IDCW OPTION,1528.9882
2026-07-11,100853,NIPPON INDIA LIQUID FUND - WEEKLY IDCW OPTION,1531.3790
2026-07-11,100855,NIPPON INDIA LIQUID FUND - MONTHLY IDCW OPTION,1588.6741
2026-07-11,100868,HDFC Liquid Fund - Growth Plan,5454.365
2026-07-11,101078,JM Liquid Fund (Regular) - Daily IDCW,10.4302
2026-07-11,101184,LIC MF Liquid Fund-Regular Plan-Daily IDCW,1000.1751
2026-07-11,101185,LIC MF Liquid Fund-Regular Plan-Growth,5025.2577
2026-07-11,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,4381.9709
2026-07-11,101407,Baroda BNP Paribas LIQUID FUND-Defunct Plan- IDCW Option,3880.5036
2026-07-11,101408,Baroda BNP Paribas LIQUID FUND- Defunct Plan -Growth Option,4703.1441
2026-07-11,101549,JM Liquid Fund (Regular) - Bonus Option - Principal Units,24.2626
2026-07-11,101714,Tata Liquid Fund- Regular Plan - Daily Reinvestment of IDCW Option,1001.5157
2026-07-11,101996,HDFC Overnight Fund - Growth Option,4007.1389
2026-07-11,102007,UTI Liquid Fund - Discontinued -Regular Plan Periodic Dividend Option,113.3237
2026-07-11,102008,UTI Liquid Fund - Discontinued - Regular Plan - Monthly Dividend Option,106.5615
2026-07-11,102009,UTI Liquid Fund - Discontinued - Regular Plan -Growth,413.9828
2026-07-11,102010,UTI Liquid Fund - Regular Plan - Daily IDCW (Reinvestment),120.0897
2026-07-11,102011,UTI Liquid Fund - Regular Plan - Monthly IDCW,112.8299
2026-07-11,102012,UTI Liquid Fund - Regular Plan - Growth Option,456.2096
2026-07-11,102013,UTI Liquid Fund - Regular Plan - Weekly IDCW,105.3559
2026-07-11,102672,Tata Liquid Fund -Regular Plan - Growth Option,4378.3863
2026-07-11,103140,SBI Overnight Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),1401.3368
2026-07-11,103340,ICICI Prudential Liquid Fund - Growth,411.4491
2026-07-11,103347,DSP Liquidity Fund - Regular Plan - Growth,3970.6702
2026-07-11,103348,DSP Liquidity Fund - Regular Plan - IDCW - Weekly,1001.9200
2026-07-11,103349,DSP Liquidity Fund- Regular Plan - IDCW - Daily,1001.6308
2026-07-11,103734,Quantum Liquid Fund - Direct Plan Growth Option,37.3544
2026-07-11,103735,Quantum Liquid Fund - Direct Plan Monthly IDCW,10.0387
2026-07-11,103736,Quantum Liquid Fund - Direct Plan Daily IDCW,10.0102
2026-07-11,103885,Aditya Birla Sun Life Liquid Fund -Regular - IDCW,103.8837
2026-07-11,104484,Invesco India Liquid Fund - Daily IDCW (Reinvestment),1002.7594
2026-07-11,104485,Invesco India Liquid Fund - Weekly IDCW (Reinvestment),1019.3807
2026-07-11,104486,Invesco India Liquid Fund - Growth,3822.0203
2026-07-11,104488,Invesco India Liquid Fund - Regular - Growth,3366.8308
2026-07-11,104489,Invesco India Liquid Fund - Regular - Weekly IDCW (Reinvestment),1004.8174
2026-07-11,104492,Invesco India Liquid Fund - Monthly IDCW (Payout / Reinvestment),1005.6137
2026-07-11,105274,SBI Liquid Fund - Institutional - Growth,4385.4595
2026-07-11,105275,SBI Liquid Fund - Institutional Daily Income Distribution cum Capital Withdrawal Option (IDCW),1408.8892
2026-07-11,105280,SBI Liquid Fund - REGULAR PLAN -Growth,4344.3807
2026-07-11,105281,SBI Liquid Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),1140.9236
2026-07-11,105282,SBI Liquid Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),1378.8288
2026-07-11,105283,SBI Liquid Fund - Regular Plan - Fortnightly Income Distribution cum Capital Withdrawal Option (IDCW),1425.7442
2026-07-11,108690,BANDHAN LIQUID Fund - Regular Plan - Growth,3355.9495
2026-07-11,108691,BANDHAN LIQUID Fund - Regular Plan - Weekly IDCW,1001.5377
2026-07-11,108692,BANDHAN LIQUID Fund - Regular Plan - Daily IDCW,1001.5779
2026-07-11,108693,BANDHAN LIQUID Fund - Regular Plan - Monthly IDCW,1003.2560
2026-07-11,109254,BANK OF INDIA Liquid Fund- Regular Plan- Growth,3203.4002
2026-07-11,109255,BANK OF INDIA Liquid Fund- Regular Plan- Weekly IDCW,1005.7527
2026-07-11,109349,CANARA ROBECO LIQUID FUND - REGULAR PLAN - DAILY IDCW (Reinvestment),1005.5000
2026-07-11,109350,CANARA ROBECO LIQUID FUND - REGULAR PLAN - WEEKLY IDCW (Payout/Reinvestment),1001.2261
2026-07-11,109351,CANARA ROBECO LIQUID FUND - REGULAR PLAN - MONTHLY IDCW (Payout/Reinvestment),1004.0021
2026-07-11,109353,CANARA ROBECO LIQUID FUND - REGULAR PLAN - GROWTH OPTION,3346.2583
2026-07-11,111644,Mirae Asset Liquid Fund - Regular Plan - Weekly IDCW,1153.4122
2026-07-11,111645,Mirae Asset Liquid Fund - Regular Plan - Monthly IDCW,1155.9707
2026-07-11,111646,Mirae Asset Liquid Fund - Regular Plan - Growth,2913.1662
2026-07-11,111647,Mirae Asset Liquid Fund - Regular - Daily IDCW,1066.4347
2026-07-11,111704,Baroda BNP Paribas LIQUID FUND - Regular Plan - GROWTH OPTION,3194.5648
2026-07-11,111705,Baroda BNP Paribas LIQUID FUND - Regular Plan - WEEKLY IDCW OPTION,1001.4460
2026-07-11,111707,Baroda BNP Paribas LIQUID FUND - Regular Plan - DAILY IDCW OPTION,1001.1996
2026-07-11,111971,BANK OF INDIA Liquid Fund- Regular Plan- Daily IDCW,1005.0000
2026-07-11,112210,Axis Liquid Fund - Regular Plan - Growth Option,3097.6702
2026-07-11,112211,Axis Liquid Fund - Regular Plan - Daily IDCW,1001.3998
2026-07-11,112212,Axis Liquid Fund - Regular Plan - Weekly IDCW,1002.9043
2026-07-11,112213,Axis Liquid Fund - Regular Plan - Monthly IDCW,1004.3783
2026-07-11,112340,NIPPON INDIA LIQUID FUND - QUARTERLY IDCW OPTION,1007.8062
2026-07-11,112636,Navi Liquid Fund-Regular Plan-Growth Option,30.0633
2026-07-11,112645,Navi Liquid Fund - Regular Plan Daily IDCW,10.0182
2026-07-11,112646,Navi Liquid Fund - Regular Plan Weekly IDCW,10.0118
2026-07-11,112647,Navi Liquid Fund - Regular Plan Monthly IDCW,10.0385
2026-07-11,112712,Axis Liquid Fund - Retail Plan - Daily IDCW,1000.9559
2026-07-11,112713,Axis Liquid Fund - Retail Plan - Growth Option,2822.1947
2026-07-11,112714,Axis Liquid Fund - Retail Plan - Monthly IDCW,1003.7764
2026-07-11,112715,Axis Liquid Fund - Retail Plan - Weekly IDCW,1001.9608
2026-07-11,114297,SBI Overnight Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),1372.4231
2026-07-11,115398,Union Liquid Fund - Growth Option,2675.3643
2026-07-11,115399,Union Liquid Fund - Fortnightly IDCW Option,1001.2863
2026-07-11,115400,Union Liquid Fund - Monthly IDCW Option,1003.5965
2026-07-11,115401,Union Liquid Fund - Daily IDCW Option,1001.4576
2026-07-11,115402,Union Liquid Fund - Weekly IDCW Option,1002.4356
2026-07-11,115489,BANDHAN LIQUID Fund - Regular Plan - Periodic IDCW,1448.8956
2026-07-11,115991,Groww Liquid Fund (formerly known as Indiabulls Liquid Fund) - Regular Plan - Growth Option,2688.6713
2026-07-11,115992,Groww Liquid Fund (formerly known as Indiabulls Liquid Fund)- Regular Plan- - Income Distribution cum capital withdrawal Option (Reinvestment),1002.252
2026-07-11,115993,Groww Liquid Fund (formerly known as Indiabulls Liquid Fund)- Regular Plan- Weekly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),1002.5736
2026-07-11,115994,Groww Liquid Fund (formerly known as Indiabulls Liquid) Fund- Regular Plan- Fortnightly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),1001.9358
2026-07-11,115995,Groww Liquid Fund (formerly known as Indiabulls Liquid Fund)- Regular Plan- Monthly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),1003.1204
2026-07-11,118304,CANARA ROBECO LIQUID FUND - DIRECT PLAN - IDCW (Payout/Reinvestment),2410.3612
2026-07-11,118305,CANARA ROBECO LIQUID FUND - DIRECT PLAN - GROWTH OPTION,3368.1789
2026-07-11,118306,CANARA ROBECO LIQUID FUND - DIRECT PLAN - MONTHLY IDCW (Payout/Reinvestment),1004.1775
2026-07-11,118307,CANARA ROBECO LIQUID FUND - DIRECT PLAN - DAILY IDCW (Reinvestment),1005.5000
2026-07-11,118308,CANARA ROBECO LIQUID FUND - DIRECT PLAN - WEEKLY IDCW (Payout/Reinvestment),1001.2309
2026-07-11,118363,BANDHAN LIQUID Fund -Direct Plan-Periodic IDCW,1367.1892
2026-07-11,118364,BANDHAN LIQUID Fund -Direct Plan-Growth,3393.6594
2026-07-11,118365,BANDHAN LIQUID Fund -Direct Plan -Monthly IDCW,1009.4759
2026-07-11,118366,BANDHAN LIQUID Fund -Direct Plan-Daily IDCW,1001.8323
2026-07-11,118367,BANDHAN LIQUID Fund -Direct Plan -Weekly IDCW,1007.2795
2026-07-11,118577,Franklin India Liquid Fund - Super Institutional - Direct - Growth,4225.4220
2026-07-11,118695,NIPPON INDIA LIQUID FUND - DIRECT Plan - DAILY IDCW OPTION,1528.9930
2026-07-11,118696,NIPPON INDIA LIQUID FUND - DIRECT Plan - MONTHLY IDCW OPTION,1592.0805
2026-07-11,118698,NIPPON INDIA LIQUID FUND - DIRECT Plan - QUARTERLY IDCW OPTION,1008.1911
2026-07-11,118700,NIPPON INDIA LIQUID FUND - DIRECT Plan - WEEKLY IDCW OPTION,1531.3936
2026-07-11,118701,Nippon India Liquid Fund - Direct Plan Growth Plan - Growth Option,6881.1453
2026-07-11,118859,Mirae Asset Liquid Fund - Direct Plan - Growth,2966.6993
2026-07-11,118860,Mirae Asset Liquid Fund - Direct Plan -Monthly IDCW,1138.3141
2026-07-11,118861,Mirae Asset Liquid Fund - Direct Plan -Daily IDCW,1075.8332
2026-07-11,118862,Mirae Asset Liquid Fund - Direct Plan - Weekly IDCW,1217.1289
2026-07-11,118901,HSBC Liquid Fund - Regular Daily IDCW,1001.5409
2026-07-11,118902,HSBC Liquid Fund - Regular Growth,2771.6452
2026-07-11,118903,HSBC Liquid Fund - Regular Monthly IDCW,1005.3518
2026-07-11,118904,HSBC Liquid Fund - Regular Weekly IDCW,1108.3331
2026-07-11,118906,HSBC Liquid Fund - IDCW,1019.4649
2026-07-11,118907,HSBC Liquid Fund - Growth,3998.9415
2026-07-11,118908,HSBC Liquid Fund - Weekly IDCW,1002.0888
2026-07-11,118909,HSBC Liquid Fund - Institutional Daily IDCW,1563.0789
2026-07-11,119091,HDFC Liquid Fund - Growth Option - Direct Plan,5518.4498
2026-07-11,119110,HDFC Overnight Fund - Growth Option - Direct Plan,4049.8009
2026-07-11,119123,DSP Liquidity Fund - Direct Plan - IDCW - Weekly,1001.9249
2026-07-11,119124,DSP Liquidity Fund - Direct Plan - IDCW - Daily,1001.6332
2026-07-11,119125,DSP Liquidity Fund - Direct Plan - Growth,4020.0297
2026-07-11,119135,Groww Liquid Fund ( formerly known as Indiabulls Liquid )Fund - Direct Plan - Growth Option,2724.3791
2026-07-11,119136,Groww Liquid Fund (formerly known as Indiabulls Liquid Fund) - Direct Plan- - Income Distribution cum capital withdrawal Option ( Reinvestment),1002.2588
2026-07-11,119137,Groww Liquid Fund (formerly known as Indiabulls Liquid Fund)- Direct Plan- Weekly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),1002.5883
2026-07-11,119138,Groww Liquid Fund (formerly known as Indiabulls Liquid Fund)- Direct Plan- Fortnightly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),1001.9296
2026-07-11,119139,Groww Liquid Fund (formerly known as Indiabulls Liquid Fund)- Direct Plan- Monthly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),1030.8224
2026-07-11,119161,Navi Liquid Fund - Direct Plan Monthly IDCW - Payout,10.0389
2026-07-11,119162,Navi Liquid Fund - Direct Plan Weekly IDCW - Payout,10.0115
2026-07-11,119163,Navi Liquid Fund - Direct Plan Daily IDCW - ReInvestment,10.0143
2026-07-11,119164,Navi Liquid Fund-Direct Plan-Growth Option,30.3473
2026-07-11,119301,Union Liquid Fund - Direct Plan - Daily IDCW Option,1001.5520
2026-07-11,119302,Union Liquid Fund - Direct Plan - Monthly IDCW Option,1004.0620
2026-07-11,119303,Union Liquid Fund - Direct Plan - Growth Option,2710.9465
2026-07-11,119304,Union Liquid Fund - Direct Plan - Weekly IDCW Option,1002.1768
2026-07-11,119305,Union Liquid Fund - Direct Plan - Fortnightly IDCW Option,1001.3009
2026-07-11,119368,BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW,1005.0000
2026-07-11,119369,BANK OF INDIA Liquid Fund- Direct Plan- Growth,3236.6417
2026-07-11,119370,BANK OF INDIA Liquid Fund- Direct Plan- Weekly IDCW,1005.7609
2026-07-11,119414,Baroda BNP Paribas LIQUID FUND - DIRECT PLAN - DAILY IDCW OPTION,1002.0849
2026-07-11,119415,Baroda BNP Paribas LIQUID FUND - DIRECT PLAN - GROWTH OPTION,3238.6217
2026-07-11,119416,Baroda BNP Paribas LIQUID FUND - DIRECT PLAN - WEEKLY IDCW OPTION,1221.6977
2026-07-11,119568,Aditya Birla Sun Life Liquid Fund - Growth - Direct Plan,454.1298
2026-07-11,119569,Aditya Birla Sun Life Liquid Fund -Direct - daily IDCW,100.2121
2026-07-11,119570,Aditya Birla Sun Life Liquid Fund -Direct - weekly IDCW,100.2421
2026-07-11,119571,Aditya Birla Sun Life Liquid Fund -DIRECT - IDCW,136.5854
2026-07-11,119764,Kotak Liquid Fund - Direct Plan - Daily Reinvestment of Income Distribution cum capital withdrawal option,1223.0106
2026-07-11,119766,Kotak Liquid Fund - Direct Plan - Growth,5678.1363
2026-07-11,119799,SBI Liquid Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),1385.7250
2026-07-11,119800,SBI Liquid Fund - DIRECT PLAN -Growth,4393.2585
2026-07-11,119804,SBI Liquid Fund - Direct Paln - Fortnightly Income Distribution cum Capital Withdrawal Option (IDCW),1434.6198
2026-07-11,119805,SBI Liquid Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),1144.2363
2026-07-11,119831,SBI Overnight Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),1378.7789
2026-07-11,119832,SBI Overnight Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),1407.9281
2026-07-11,119833,SBI OVERNIGHT FUND - DIRECT PLAN - GROWTH,4442.1105
2026-07-11,119861,Tata Liquid Fund- Direct Plan-Growth Option,4436.3590
2026-07-11,119862,Tata Liquid Fund- Direct Plan - Daily Reinvestment of IDCW Option,1001.5187
2026-07-11,120037,HSBC Liquid Fund - Direct Daily IDCW,1001.7405
2026-07-11,120038,HSBC Liquid Fund -  Growth Direct,2800.133
2026-07-11,120039,HSBC Liquid Fund - Direct Monthly IDCW,1041.0877
2026-07-11,120040,HSBC Liquid Fund - Direct Weekly IDCW,1196.1025
2026-07-11,120197,ICICI Prudential Liquid Fund - Direct Plan - Growth,415.8825
2026-07-11,120248,LIC MF Liquid Fund-Direct Plan-Daily IDCW,1035.2975
2026-07-11,120249,LIC MF Liquid Fund-Direct Plan-Growth,5102.1232
2026-07-11,120304,UTI Liquid Fund - Direct Plan - Growth Option,460.7989
2026-07-11,120388,Axis Liquid Fund - Direct Plan - Daily IDCW,1000.9560
2026-07-11,120389,Axis Liquid Fund - Direct Plan - Growth Option,3127.2793
2026-07-11,120390,Axis Liquid Fund - Direct Plan - Weekly IDCW,1002.9211
2026-07-11,120391,Axis Liquid Fund - Direct Plan - Monthly IDCW,1004.0084
2026-07-11,120406,JM Liquid Fund (Direct) - Growth Option,76.6622
2026-07-11,120407,JM Liquid Fund (Direct) - Weekly IDCW,11.0145
2026-07-11,120408,JM Liquid Fund (Direct) - Quarterly IDCW,43.5243
2026-07-11,120411,JM Liquid Fund (Direct) - Daily IDCW,10.4302
2026-07-11,120534,Invesco India Liquid Fund - Direct Plan- Daily IDCW (Reinvestment),1005.8604
2026-07-11,120535,Invesco India Liquid Fund - Direct Plan - Weekly IDCW (Reinvestment),1073.2331
2026-07-11,120536,Invesco India Liquid Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment),1084.7967
2026-07-11,120537,Invesco India Liquid Fund - Direct Plan - Growth,3857.1489
2026-07-11,120558,UTI Liquid Fund - Direct Plan - Daily IDCW (Reinvestment),106.5304
2026-07-11,120777,UTI Liquid Fund - Direct Plan - Weekly IDCW,107.8952
2026-07-11,120785,UTI - Overnight Fund - Direct Plan - Growth Option,3739.8143
2026-07-11,120786,UTI Overnight Fund - Direct Plan - Periodic IDCW,1962.7065
2026-07-11,120794,UTI Liquid Fund - Direct Plan - Monthly IDCW,104.6049
2026-07-11,124265,UTI Overnight Fund - Regular Plan - Daily IDCW,1370.8617
2026-07-11,124266,UTI Overnight Fund - Direct Plan - Daily IDCW,1371.6621
2026-07-11,133973,UTI Liquid Fund - Regular Plan - Annual IDCW,201.1614
2026-07-11,134427,UTI Liquid Fund - Direct Plan - Annual IDCW,202.6535
2026-07-11,135721,UTI Liquid Fund - Regular Plan - Quarterly IDCW,189.941
2026-07-11,138285,PGIM India Liquid Fund - Daily Dividend,100.304
2026-07-11,138287,PGIM India Liquid Fund - Monthly Dividend,116.7045
2026-07-11,138288,PGIM India Liquid Fund - Growth,362.0228
2026-07-11,138289,PGIM India Liquid Fund - Weekly Dividend,100.5216
2026-07-11,138297,PGIM India Liquid Fund - Direct Plan - Daily Dividend,130.7069
2026-07-11,138298,PGIM India Liquid Fund - Direct Plan - Monthly Dividend,116.2697
2026-07-11,138299,PGIM India Liquid Fund - Direct Plan - Growth,366.7557
2026-07-11,138301,PGIM India Liquid Fund - Direct Plan - Weekly Dividend,100.5219
2026-07-11,139235,Canara Robeco Liquid Fund -Unclaimed Redemption and Dividend Plan -Direct Growth Option,1838.1512
2026-07-11,139386,Navi Liquid Fund-Unclaimed Redemption and Dividend Plan less than 3 years,30.2446
2026-07-11,139387,Invesco India Liquid Fund - Unclaimed Redemption Plan - Below 3 years,1827.8023
2026-07-11,139388,Invesco India Liquid Fund - Unclaimed Redemption Plan - Above 3 Years,1000
2026-07-11,139389,Invesco India Liquid Fund - Unclaimed Dividend Plan - Below 3 Years,1828.2122
2026-07-11,139390,Invesco India Liquid Fund - Unclaimed Dividend Plan - Above 3 Years,1000
2026-07-11,139534,Mahindra Manulife Liquid Fund - Regular Plan - Daily IDCW,1001.6627
2026-07-11,139535,Mahindra Manulife Liquid Fund - Direct Plan - Daily IDCW,1285.0808
2026-07-11,139536,Mahindra Manulife Liquid Fund - Direct Plan - Weekly IDCW,1003.3310
2026-07-11,139537,Mahindra Manulife Liquid Fund - Regular Plan - Growth,1808.8174
2026-07-11,139538,Mahindra Manulife Liquid Fund - Direct Plan -Growth,1830.2857
2026-07-11,139541,Mahindra Manulife Liquid Fund - Regular Plan - Weekly IDCW,1009.7458
2026-07-11,139582,BANDHAN LIQUID Fund - Unclaimed IDCW Less than 3 years,1.8075
2026-07-11,139583,BANDHAN LIQUID Fund - Unclaimed IDCW More than 3 years,1.0000
2026-07-11,139584,BANDHAN LIQUID Fund - Unclaimed Redemption Less than 3 years,1.8075
2026-07-11,139585,BANDHAN LIQUID Fund - Unclaimed Redemption More than 3 years,1.0000
2026-07-11,139838,UTI Liquid Fund - Regular Plan - Fortnightly IDCW,115.4202
2026-07-11,140024,UTI Liquid Fund - Direct Plan - Quarterly IDCW,191.3924
2026-07-11,140176,Edelweiss Liquid Fund - Retail Plan - Growth Option,3235.0581
2026-07-11,140177,Edelweiss Liquid Fund - Retail Plan Daily - IDCW Option,1159.3161
2026-07-11,140178,Edelweiss Liquid Fund - Retail Plan - Weekly Dividend Option,1231.9389
2026-07-11,140180,Edelweiss Liquid Fund - Retail Plan Monthly - IDCW Option,1247.4253
2026-07-11,140181,Edelweiss Liquid Fund - Regular Plan Daily - IDCW Option,1317.1587
2026-07-11,140182,Edelweiss Liquid Fund - Regular Plan - Growth Option,3557.2804
2026-07-11,140183,Edelweiss Liquid Fund - Regular Plan Monthly - IDCW Option,1085.769
2026-07-11,140184,Edelweiss Liquid Fund - Regular Plan Fortnightly - IDCW Option,2158.2263
2026-07-11,140185,Edelweiss Liquid Fund - Regular Plan Weekly - IDCW Option,1216.1651
2026-07-11,140188,Edelweiss Liquid Fund - Regular Plan Annual - IDCW Option,2461.3316
2026-07-11,140189,Edelweiss Liquid Fund - Regular Plan - Bonus Option,2072.2449
2026-07-11,140190,Edelweiss Liquid Fund - Regular Plan - IDCW Option,3557.2836
2026-07-11,140192,Edelweiss Liquid Fund - Direct Plan Annual - IDCW Option,3633.3483
2026-07-11,140193,Edelweiss Liquid Fund - Direct Plan daily - IDCW Option,1194.3847
2026-07-11,140194,Edelweiss Liquid Fund - Direct Plan - Bonus Option,2113.8277
2026-07-11,140195,Edelweiss Liquid Fund - Direct Plan weekly - IDCW Option,2174.7926
2026-07-11,140196,Edelweiss Liquid Fund - Direct Plan - Growth Option,3633.3743
2026-07-11,140197,Edelweiss Liquid Fund - Direct Plan Monthly - IDCW Option,1007.4087
2026-07-11,140198,Edelweiss Liquid Fund - Direct Plan - IDCW Option,3633.3876
2026-07-11,140199,Edelweiss Liquid Fund - Direct Plan Fortnightly - IDCW Option,2479.4195
2026-07-11,140437,Navi Liquid Fund-Unclaimed Redemption and Dividend Plan greater than 3 years,10.0014
2026-07-11,140504,UTI Liquid Fund - Direct Plan - Half-Yearly IDCW,158.2988
2026-07-11,140517,UTI Liquid Fund - Regular Plan - Flexi IDCW,165.7928
2026-07-11,140913,UTI Liquid Fund - Direct Plan - Fortnightly IDCW,115.5022
2026-07-11,141065,Quantum Liquid Fund - Regular Plan Daily IDCW,10.0002
2026-07-11,141066,Quantum Liquid Fund - Regular Plan Growth Option,37.0515
2026-07-11,141067,Quantum Liquid Fund - Regular Plan Monthly IDCW,10.0355
2026-07-11,141768,UTI Liquid Fund - Direct Plan - Flexi IDCW,166.9145
2026-07-11,143260,Parag Parikh Liquid Fund- Regular Plan- Growth,1541.2168
2026-07-11,143261,Parag Parikh Liquid Fund- Regular Plan- Monthly IDCW,1005.3876
2026-07-11,143262,Parag Parikh Liquid Fund- Direct Plan- Monthly IDCW,1005.4187
2026-07-11,143263,Parag Parikh Liquid Fund- Direct Plan- Daily Reinvestment of IDCW,1000.7376
2026-07-11,143264,Parag Parikh Liquid Fund- Regular Plan- Daily Reinvestment of IDCW,1000.6427
2026-07-11,143265,Parag Parikh Liquid Fund- Direct Plan- Weekly Reinvestment of IDCW,1001.8323
2026-07-11,143266,Parag Parikh Liquid Fund- Regular Plan- Weekly Reinvestment of IDCW,1001.8187
2026-07-11,143269,Parag Parikh Liquid Fund- Direct Plan- Growth,1553.9428
2026-07-11,144475,UTI Liquid Fund - Regular Plan - Half-Yearly IDCW,140.1041
2026-07-11,145481,ADITYA BIRLA SUNLIFE OVERNIGHT FUND-REGULAR PLAN-GROWTH,1464.7202
