date,scheme_code,scheme_name,nav
2026-08-09,100046,Aditya Birla Sun Life Liquid Fund -Daily IDCW,100.1950
2026-08-09,100047,Aditya Birla Sun Life Liquid Fund - Growth,450.3120
2026-08-09,100051,Aditya Birla Sun Life Liquid Fund -weekly IDCW,100.2582
2026-08-09,100233,JM Liquid Fund (Regular) - Weekly IDCW,11.014
2026-08-09,100234,JM Liquid Fund - Growth Option,76.1474
2026-08-09,100244,JM Liquid Fund (Regular) - Quarterly IDCW,43.1002
2026-08-09,100247,JM Liquid Fund (Regular) - Super Institutional Plan - Growth Option,43.7843
2026-08-09,100537,Franklin India Liquid Fund - Regular Plan - Weekly - IDCW,1244.2967
2026-08-09,100538,Franklin India Liquid Fund - Regular Plan - Growth,6284.3380
2026-08-09,100541,Franklin India Liquid Fund - Regular Plan - Daily - IDCW,1508.9895
2026-08-09,100546,Franklin India Liquid Fund - Super Institutional Plan - Growth,4209.0535
2026-08-09,100547,Franklin India Liquid Fund - Super Institutional Plan - Daily - IDCW,1000.0000
2026-08-09,100548,Franklin India Liquid Fund - Super Institutional Plan - Weekly - IDCW,1037.8309
2026-08-09,100813,UTI Overnight Fund - Regular Plan - Periodic IDCW,1912.6067
2026-08-09,100814,UTI - Overnight  Fund - Regular Plan - Growth Option,3712.6085
2026-08-09,100833,Kotak Liquid Fund - Regular  - Daily Reinvestment of Income Distribution cum capital withdrawal option,1278.1474
2026-08-09,100835,Kotak Liquid Fund - Regular Plan - Growth,5645.3021
2026-08-09,100837,Nippon India Liquid Fund - Retail Option - Growth Plan,6040.9876
2026-08-09,100838,NIPPON INDIA LIQUID FUND - RETAIL Plan - WEEKLY IDCW OPTION,1034.8773
2026-08-09,100842,NIPPON INDIA LIQUID FUND - RETAIL Plan - DAILY IDCW OPTION,1524.2800
2026-08-09,100843,NIPPON INDIA LIQUID FUND - RETAIL plan - MONTHLY IDCW OPTION,1329.5992
2026-08-09,100844,NIPPON INDIA LIQUID FUND - RETAIL Plan - QUARTERLY IDCW OPTION,1223.8989
2026-08-09,100851,Nippon India Liquid Fund -Growth Plan,6818.2409
2026-08-09,100852,NIPPON INDIA LIQUID FUND - DAILY IDCW OPTION,1528.7400
2026-08-09,100853,NIPPON INDIA LIQUID FUND - WEEKLY IDCW OPTION,1531.3754
2026-08-09,100855,NIPPON INDIA LIQUID FUND - MONTHLY IDCW OPTION,1587.6190
2026-08-09,100868,HDFC Liquid Fund - Growth Plan,5481.049
2026-08-09,100874,HDFC Liquid Fund - IDCW Plan Weekly,1032.1869
2026-08-09,100875,HDFC Liquid Fund - IDCW Daily,1019.82
2026-08-09,100876,HDFC Liquid Fund - IDCW Monthly,1028.7715
2026-08-09,101078,JM Liquid Fund (Regular) - Daily IDCW,10.4302
2026-08-09,101184,LIC MF Liquid Fund-Regular Plan-Daily IDCW,1000.1751
2026-08-09,101185,LIC MF Liquid Fund-Regular Plan-Growth,5050.0973
2026-08-09,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,4399.5049
2026-08-09,101407,Baroda BNP Paribas LIQUID FUND-Defunct Plan- IDCW Option,3899.7570
2026-08-09,101408,Baroda BNP Paribas LIQUID FUND- Defunct Plan -Growth Option,4726.4829
2026-08-09,101549,JM Liquid Fund (Regular) - Bonus Option - Principal Units,24.3827
2026-08-09,101714,Tata Liquid Fund- Regular Plan - Daily Reinvestment of IDCW Option,1001.5157
2026-08-09,101996,HDFC Overnight Fund - Growth Option,4023.114
2026-08-09,101997,HDFC Overnight Fund - IDCW Option (Daily),1042.66
2026-08-09,102007,UTI Liquid Fund - Discontinued -Regular Plan Periodic Dividend Option,113.2883
2026-08-09,102008,UTI Liquid Fund - Discontinued - Regular Plan - Monthly Dividend Option,106.4844
2026-08-09,102009,UTI Liquid Fund - Discontinued - Regular Plan -Growth,416.0164
2026-08-09,102010,UTI Liquid Fund - Regular Plan - Daily IDCW (Reinvestment),120.6796
2026-08-09,102011,UTI Liquid Fund - Regular Plan - Monthly IDCW,112.574
2026-08-09,102012,UTI Liquid Fund - Regular Plan - Growth Option,458.4505
2026-08-09,102013,UTI Liquid Fund - Regular Plan - Weekly IDCW,105.3717
2026-08-09,102442,Franklin India Liquid Fund - Institutional Plan - Weekly - IDCW,1054.7184
2026-08-09,102443,Franklin India Liquid Fund - Institutional Plan - Daily - IDCW,1000.0000
2026-08-09,102672,Tata Liquid Fund -Regular Plan - Growth Option,4399.8297
2026-08-09,103140,SBI Overnight Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),1406.9441
2026-08-09,103225,quant Liquid Fund - Growth Option - Regular Plan,43.9332
2026-08-09,103226,quant Liquid Fund-Daily IDCW Option - Regular Plan,12.6323
2026-08-09,103227,quant Liquid Fund - Weekly IDCW Option - Regular Plan,14.5186
2026-08-09,103228,quant Liquid Fund - Monthly IDCW Option - Regular Plan,15.1774
2026-08-09,103340,ICICI Prudential Liquid Fund - Growth,413.4621
2026-08-09,103342,ICICI Prudential Liquid Fund - Weekly IDCW,100.2699
2026-08-09,103343,ICICI Prudential Liquid Fund - Daily IDCW,100.1482
2026-08-09,103347,DSP Liquidity Fund - Regular Plan - Growth,3990.3789
2026-08-09,103348,DSP Liquidity Fund - Regular Plan - IDCW - Weekly,1001.9644
2026-08-09,103349,DSP Liquidity Fund- Regular Plan - IDCW - Daily,1001.4663
2026-08-09,103734,Quantum Liquid Fund - Direct Plan Growth Option,37.5297
2026-08-09,103735,Quantum Liquid Fund - Direct Plan Monthly IDCW,10.0394
2026-08-09,103736,Quantum Liquid Fund - Direct Plan Daily IDCW,10.0135
2026-08-09,103885,Aditya Birla Sun Life Liquid Fund -Regular - IDCW,104.3973
2026-08-09,104484,Invesco India Liquid Fund - Daily IDCW (Reinvestment),1002.7594
2026-08-09,104485,Invesco India Liquid Fund - Weekly IDCW (Reinvestment),1019.7207
2026-08-09,104486,Invesco India Liquid Fund - Growth,3840.8145
2026-08-09,104488,Invesco India Liquid Fund - Regular - Growth,3382.1774
2026-08-09,104489,Invesco India Liquid Fund - Regular - Weekly IDCW (Reinvestment),1005.14
2026-08-09,104492,Invesco India Liquid Fund - Monthly IDCW (Payout / Reinvestment),1005.0618
2026-08-09,105274,SBI Liquid Fund - Institutional - Growth,4407.0829
2026-08-09,105275,SBI Liquid Fund - Institutional Daily Income Distribution cum Capital Withdrawal Option (IDCW),1415.8369
2026-08-09,105280,SBI Liquid Fund - REGULAR PLAN -Growth,4365.8061
2026-08-09,105281,SBI Liquid Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),1140.7391
2026-08-09,105282,SBI Liquid Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),1379.0500
2026-08-09,105283,SBI Liquid Fund - Regular Plan - Fortnightly Income Distribution cum Capital Withdrawal Option (IDCW),1432.7759
2026-08-09,108690,BANDHAN LIQUID Fund - Regular Plan - Growth,3372.3358
2026-08-09,108691,BANDHAN LIQUID Fund - Regular Plan - Weekly IDCW,1001.6965
2026-08-09,108692,BANDHAN LIQUID Fund - Regular Plan - Daily IDCW,1001.4161
2026-08-09,108693,BANDHAN LIQUID Fund - Regular Plan - Monthly IDCW,1002.7741
2026-08-09,109254,BANK OF INDIA Liquid Fund- Regular Plan- Growth,3219.3261
2026-08-09,109255,BANK OF INDIA Liquid Fund- Regular Plan- Weekly IDCW,1006.1477
2026-08-09,109349,CANARA ROBECO LIQUID FUND - REGULAR PLAN - DAILY IDCW (Reinvestment),1005.5000
2026-08-09,109350,CANARA ROBECO LIQUID FUND - REGULAR PLAN - WEEKLY IDCW (Payout/Reinvestment),1001.1937
2026-08-09,109351,CANARA ROBECO LIQUID FUND - REGULAR PLAN - MONTHLY IDCW (Payout/Reinvestment),1002.4704
2026-08-09,109353,CANARA ROBECO LIQUID FUND - REGULAR PLAN - GROWTH OPTION,3362.7910
2026-08-09,111644,Mirae Asset Liquid Fund - Regular Plan - Weekly IDCW,1153.3657
2026-08-09,111645,Mirae Asset Liquid Fund - Regular Plan - Monthly IDCW,1155.6167
2026-08-09,111646,Mirae Asset Liquid Fund - Regular Plan - Growth,2927.5143
2026-08-09,111647,Mirae Asset Liquid Fund - Regular Plan - Daily IDCW,1066.4347
2026-08-09,111704,Baroda BNP Paribas LIQUID FUND - Regular Plan - GROWTH OPTION,3210.4172
2026-08-09,111705,Baroda BNP Paribas LIQUID FUND - Regular Plan - WEEKLY IDCW OPTION,1001.4310
2026-08-09,111707,Baroda BNP Paribas LIQUID FUND - Regular Plan - DAILY IDCW OPTION,1001.1996
2026-08-09,111971,BANK OF INDIA Liquid Fund- Regular Plan- Daily IDCW,1005.0000
2026-08-09,112210,Axis Liquid Fund - Regular Plan - Growth Option,3113.1111
2026-08-09,112211,Axis Liquid Fund - Regular Plan - Daily IDCW,1001.3998
2026-08-09,112212,Axis Liquid Fund - Regular Plan - Weekly IDCW,1003.2310
2026-08-09,112213,Axis Liquid Fund - Regular Plan - Monthly IDCW,1003.6932
2026-08-09,112340,NIPPON INDIA LIQUID FUND - QUARTERLY IDCW OPTION,1012.7733
2026-08-09,112636,Navi Liquid Fund-Regular Plan-Growth Option,30.1939
2026-08-09,112645,Navi Liquid Fund - Regular Plan Daily IDCW,10.0617
2026-08-09,112646,Navi Liquid Fund - Regular Plan Weekly IDCW,10.0143
2026-08-09,112647,Navi Liquid Fund - Regular Plan Monthly IDCW,10.0268
2026-08-09,112712,Axis Liquid Fund - Retail Plan - Daily IDCW,1000.9559
2026-08-09,112713,Axis Liquid Fund - Retail Plan - Growth Option,2835.1592
2026-08-09,112714,Axis Liquid Fund - Retail Plan - Monthly IDCW,1002.9514
2026-08-09,112715,Axis Liquid Fund - Retail Plan - Weekly IDCW,1001.7647
2026-08-09,114297,SBI Overnight Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),1377.9146
2026-08-09,115398,Union Liquid Fund - Growth Option,2688.5981
2026-08-09,115399,Union Liquid Fund - Fortnightly IDCW Option,1003.5628
2026-08-09,115400,Union Liquid Fund - Monthly IDCW Option,1003.0447
2026-08-09,115401,Union Liquid Fund - Daily IDCW Option,1001.4576
2026-08-09,115402,Union Liquid Fund - Weekly IDCW Option,1002.5416
2026-08-09,115489,BANDHAN LIQUID Fund - Regular Plan - Periodic IDCW,1455.9695
2026-08-09,115505,ICICI Prudential Liquid Fund - IDCW Others,192.1556
2026-08-09,115991,Groww Liquid Fund (formerly known as Indiabulls Liquid Fund) - Regular Plan - Growth Option,2701.8477
2026-08-09,115992,Groww Liquid Fund (formerly known as Indiabulls Liquid Fund)- Regular Plan- - Income Distribution cum capital withdrawal Option (Reinvestment),1002.0894
2026-08-09,115993,Groww Liquid Fund (formerly known as Indiabulls Liquid Fund)- Regular Plan- Weekly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),1002.8834
2026-08-09,115994,Groww Liquid Fund (formerly known as Indiabulls Liquid) Fund- Regular Plan- Fortnightly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),1004.1587
2026-08-09,115995,Groww Liquid Fund (formerly known as Indiabulls Liquid Fund)- Regular Plan- Monthly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),1002.8132
2026-08-09,118304,CANARA ROBECO LIQUID FUND - DIRECT PLAN - IDCW (Payout/Reinvestment),2253.0639
2026-08-09,118305,CANARA ROBECO LIQUID FUND - DIRECT PLAN - GROWTH OPTION,3385.0654
2026-08-09,118306,CANARA ROBECO LIQUID FUND - DIRECT PLAN - MONTHLY IDCW (Payout/Reinvestment),1002.6838
2026-08-09,118307,CANARA ROBECO LIQUID FUND - DIRECT PLAN - DAILY IDCW (Reinvestment),1005.5000
2026-08-09,118308,CANARA ROBECO LIQUID FUND - DIRECT PLAN - WEEKLY IDCW (Payout/Reinvestment),1001.2040
2026-08-09,118363,BANDHAN LIQUID Fund -Direct Plan-Periodic IDCW,1374.0418
2026-08-09,118364,BANDHAN LIQUID Fund -Direct Plan-Growth,3410.6625
2026-08-09,118365,BANDHAN LIQUID Fund -Direct Plan -Monthly IDCW,1008.9802
2026-08-09,118366,BANDHAN LIQUID Fund -Direct Plan-Daily IDCW,1001.6663
2026-08-09,118367,BANDHAN LIQUID Fund -Direct Plan -Weekly IDCW,1007.4433
2026-08-09,118577,Franklin India Liquid Fund - Super Institutional - Direct - Growth,4246.8337
2026-08-09,118578,Franklin India Liquid Fund - Super Institutional Plan - Direct - Daily - IDCW,1002.8152
2026-08-09,118579,Franklin India Liquid Fund - Super Institutional Plan - Direct - Weekly - IDCW,1021.9698
2026-08-09,118695,NIPPON INDIA LIQUID FUND - DIRECT Plan - DAILY IDCW OPTION,1528.7400
2026-08-09,118696,NIPPON INDIA LIQUID FUND - DIRECT Plan - MONTHLY IDCW OPTION,1591.0161
2026-08-09,118698,NIPPON INDIA LIQUID FUND - DIRECT Plan - QUARTERLY IDCW OPTION,1013.2765
2026-08-09,118700,NIPPON INDIA LIQUID FUND - DIRECT Plan - WEEKLY IDCW OPTION,1531.3995
2026-08-09,118701,Nippon India Liquid Fund - Direct Plan Growth Plan - Growth Option,6915.8542
2026-08-09,118859,Mirae Asset Liquid Fund - Direct Plan - Growth,2981.5480
2026-08-09,118860,Mirae Asset Liquid Fund - Direct Plan - Monthly IDCW,1137.9641
2026-08-09,118861,Mirae Asset Liquid Fund - Direct Plan - Daily IDCW,1075.8332
2026-08-09,118862,Mirae Asset Liquid Fund - Direct Plan - Weekly IDCW,1217.0833
2026-08-09,118901,HSBC Liquid Fund - Regular Daily IDCW,1001.3789
2026-08-09,118902,HSBC Liquid Fund - Regular Growth,2785.186
2026-08-09,118903,HSBC Liquid Fund - Regular Monthly IDCW,1004.6581
2026-08-09,118904,HSBC Liquid Fund - Regular Weekly IDCW,1108.4495
2026-08-09,118906,HSBC Liquid Fund - IDCW,1019.3
2026-08-09,118907,HSBC Liquid Fund - Growth,4018.4784
2026-08-09,118908,HSBC Liquid Fund - Weekly IDCW,1002.1943
2026-08-09,118909,HSBC Liquid Fund - Institutional Daily IDCW,1562.8262
2026-08-09,119088,HDFC Liquid Fund - IDCW Weekly - Direct Plan,1032.2071
2026-08-09,119089,HDFC Liquid Fund - IDCW Daily - Direct Plan,1019.82
2026-08-09,119090,HDFC Liquid Fund - IDCW Monthly - Direct Plan,1028.8149
2026-08-09,119091,HDFC Liquid Fund - Growth Option - Direct Plan,5545.9519
2026-08-09,119109,HDFC Overnight Fund - Daily IDCW Option - Direct Plan,1042.66
2026-08-09,119110,HDFC Overnight Fund - Growth Option - Direct Plan,4066.2486
2026-08-09,119123,DSP Liquidity Fund - Direct Plan - IDCW - Weekly,1001.9723
2026-08-09,119124,DSP Liquidity Fund - Direct Plan - IDCW - Daily,1001.4663
2026-08-09,119125,DSP Liquidity Fund - Direct Plan - Growth,4040.2753
2026-08-09,119135,Groww Liquid Fund ( formerly known as Indiabulls Liquid )Fund - Direct Plan - Growth Option,2737.9526
2026-08-09,119136,Groww Liquid Fund (formerly known as Indiabulls Liquid Fund) - Direct Plan- - Income Distribution cum capital withdrawal Option ( Reinvestment),1002.0907
2026-08-09,119137,Groww Liquid Fund (formerly known as Indiabulls Liquid Fund)- Direct Plan- Weekly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),1002.901
2026-08-09,119138,Groww Liquid Fund (formerly known as Indiabulls Liquid Fund)- Direct Plan- Fortnightly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),1004.1975
2026-08-09,119139,Groww Liquid Fund (formerly known as Indiabulls Liquid Fund)- Direct Plan- Monthly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),1030.5092
2026-08-09,119161,Navi Liquid Fund - Direct Plan Monthly IDCW - Payout,10.0271
2026-08-09,119162,Navi Liquid Fund - Direct Plan Weekly IDCW - Payout,10.014
2026-08-09,119163,Navi Liquid Fund - Direct Plan Daily IDCW - ReInvestment,10.0129
